days,healthy pop,cd4 depl
51.17917918,9.77E-07,3.87E-05
51.34534535,9.45E-07,3.76E-05
51.51151151,9.15E-07,3.66E-05
51.67767768,8.86E-07,3.56E-05
51.84384384,8.57E-07,3.46E-05
52.01001001,8.30E-07,3.36E-05
52.17617618,8.03E-07,3.27E-05
52.34234234,7.78E-07,3.18E-05
52.50850851,7.53E-07,3.09E-05
52.67467467,7.29E-07,3.01E-05
52.84084084,7.05E-07,2.93E-05
53.00700701,6.83E-07,2.85E-05
53.17317317,6.61E-07,2.77E-05
53.33933934,6.40E-07,2.70E-05
53.50550551,6.19E-07,2.63E-05
53.67167167,6.00E-07,2.56E-05
53.83783784,5.80E-07,2.49E-05
54.004004,5.62E-07,2.42E-05
54.17017017,5.44E-07,2.36E-05
54.33633634,5.26E-07,2.30E-05
54.5025025,5.09E-07,2.24E-05
54.66866867,4.93E-07,2.18E-05
54.83483483,4.77E-07,2.12E-05
55.001001,4.62E-07,2.07E-05
55.16716717,4.47E-07,2.01E-05
55.33333333,4.33E-07,1.96E-05
55.4994995,4.19E-07,1.91E-05
55.66566567,4.05E-07,1.86E-05
55.83183183,3.92E-07,1.82E-05
55.997998,3.79E-07,1.77E-05
56.16416416,3.67E-07,1.73E-05
56.33033033,3.55E-07,1.68E-05
56.4964965,3.43E-07,1.64E-05
56.66266266,3.32E-07,1.60E-05
56.82882883,3.21E-07,1.56E-05
56.99499499,3.10E-07,1.52E-05
57.16116116,3.00E-07,1.48E-05
57.32732733,2.91E-07,1.45E-05
57.49349349,2.81E-07,1.41E-05
57.65965966,2.72E-07,1.38E-05
57.82582583,2.64E-07,1.35E-05
57.99199199,2.56E-07,1.31E-05
58.15815816,2.47E-07,1.28E-05
58.32432432,2.39E-07,1.25E-05
58.49049049,2.31E-07,1.22E-05
58.65665666,2.24E-07,1.19E-05
58.82282282,2.17E-07,1.16E-05
58.98898899,2.10E-07,1.14E-05
59.15515516,2.03E-07,1.11E-05
59.32132132,1.97E-07,1.08E-05
59.48748749,1.90E-07,1.06E-05
59.65365365,1.84E-07,1.03E-05
59.81981982,1.79E-07,1.01E-05
59.98598599,1.73E-07,9.87E-06
60.15215215,1.68E-07,9.65E-06
60.31831832,1.63E-07,9.43E-06
60.48448448,1.59E-07,9.21E-06
60.65065065,1.54E-07,9.01E-06
60.81681682,1.49E-07,8.80E-06
60.98298298,1.45E-07,8.61E-06
61.14914915,1.40E-07,8.41E-06
61.31531532,1.36E-07,8.23E-06
61.48148148,1.32E-07,8.05E-06
61.64764765,1.28E-07,7.87E-06
61.81381381,1.24E-07,7.70E-06
61.97997998,1.20E-07,7.53E-06
62.14614615,1.17E-07,7.36E-06
62.31231231,1.13E-07,7.20E-06
62.47847848,1.10E-07,7.05E-06
62.64464464,1.07E-07,6.90E-06
62.81081081,1.04E-07,6.75E-06
62.97697698,1.01E-07,6.61E-06
63.14314314,9.78E-08,6.46E-06
63.30930931,9.50E-08,6.33E-06
63.47547548,9.22E-08,6.19E-06
63.64164164,8.95E-08,6.06E-06
63.80780781,8.69E-08,5.94E-06
63.97397397,8.43E-08,5.81E-06
64.14014014,8.18E-08,5.69E-06
64.30630631,7.94E-08,5.58E-06
64.47247247,7.70E-08,5.46E-06
64.63863864,7.47E-08,5.35E-06
64.8048048,7.24E-08,5.24E-06
64.97097097,7.02E-08,5.13E-06
65.13713714,6.80E-08,5.03E-06
65.3033033,6.59E-08,4.93E-06
65.46946947,6.39E-08,4.83E-06
65.63563564,6.19E-08,4.73E-06
65.8018018,6.00E-08,4.64E-06
65.96796797,5.81E-08,4.55E-06
66.13413413,5.63E-08,4.46E-06
66.3003003,5.45E-08,4.37E-06
66.46646647,5.28E-08,4.28E-06
66.63263263,5.11E-08,4.20E-06
66.7987988,4.95E-08,4.12E-06
66.96496496,4.80E-08,4.04E-06
67.13113113,4.65E-08,3.96E-06
67.2972973,4.50E-08,3.88E-06
67.46346346,4.37E-08,3.81E-06
67.62962963,4.23E-08,3.74E-06
67.7957958,4.11E-08,3.67E-06
67.96196196,3.98E-08,3.60E-06
68.12812813,3.85E-08,3.53E-06
68.29429429,3.73E-08,3.46E-06
68.46046046,3.61E-08,3.40E-06
68.62662663,3.50E-08,3.34E-06
68.79279279,3.39E-08,3.28E-06
68.95895896,3.28E-08,3.22E-06
69.12512513,3.18E-08,3.16E-06
69.29129129,3.08E-08,3.10E-06
69.45745746,2.99E-08,3.04E-06
69.62362362,2.90E-08,2.99E-06
69.78978979,2.82E-08,2.93E-06
69.95595596,2.74E-08,2.88E-06
70.12212212,2.66E-08,2.83E-06
70.28828829,2.59E-08,2.78E-06
70.45445445,2.52E-08,2.73E-06
70.62062062,2.45E-08,2.69E-06
70.78678679,2.38E-08,2.64E-06
70.95295295,2.31E-08,2.59E-06
71.11911912,2.25E-08,2.55E-06
71.28528529,2.19E-08,2.50E-06
71.45145145,2.13E-08,2.46E-06
71.61761762,2.07E-08,2.42E-06
71.78378378,2.02E-08,2.38E-06
71.94994995,1.96E-08,2.34E-06
72.11611612,1.91E-08,2.30E-06
72.28228228,1.86E-08,2.26E-06
72.44844845,1.81E-08,2.22E-06
72.61461461,1.77E-08,2.19E-06
72.78078078,1.72E-08,2.15E-06
72.94694695,1.68E-08,2.12E-06
73.11311311,1.64E-08,2.08E-06
73.27927928,1.60E-08,2.05E-06
73.44544545,1.56E-08,2.01E-06
73.61161161,1.52E-08,1.98E-06
73.77777778,1.48E-08,1.95E-06
73.94394394,1.44E-08,1.92E-06
74.11011011,1.41E-08,1.89E-06
74.27627628,1.37E-08,1.86E-06
74.44244244,1.34E-08,1.83E-06
74.60860861,1.30E-08,1.80E-06
74.77477477,1.27E-08,1.77E-06
74.94094094,1.23E-08,1.75E-06
75.10710711,1.21E-08,1.72E-06
75.27327327,1.18E-08,1.69E-06
75.43943944,1.16E-08,1.67E-06
75.60560561,1.13E-08,1.64E-06
75.77177177,1.11E-08,1.62E-06
75.93793794,1.09E-08,1.59E-06
76.1041041,1.07E-08,1.57E-06
76.27027027,1.04E-08,1.54E-06
76.43643644,1.02E-08,1.52E-06
76.6026026,1.00E-08,1.50E-06
76.76876877,9.82E-09,1.48E-06
76.93493493,9.62E-09,1.46E-06
77.1011011,9.41E-09,1.43E-06
77.26726727,9.21E-09,1.41E-06
77.43343343,9.01E-09,1.39E-06
77.5995996,8.81E-09,1.37E-06
77.76576577,8.60E-09,1.35E-06
77.93193193,8.39E-09,1.33E-06
78.0980981,8.18E-09,1.32E-06
78.26426426,7.97E-09,1.30E-06
78.43043043,7.75E-09,1.28E-06
78.5965966,7.53E-09,1.26E-06
78.76276276,7.30E-09,1.24E-06
78.92892893,7.06E-09,1.23E-06
79.0950951,6.82E-09,1.21E-06
79.26126126,6.57E-09,1.19E-06
79.42742743,6.31E-09,1.18E-06
79.59359359,6.10E-09,1.16E-06
79.75975976,5.96E-09,1.15E-06
79.92592593,5.81E-09,1.13E-06
80.09209209,5.67E-09,1.11E-06
80.25825826,5.53E-09,1.10E-06
80.42442442,5.39E-09,1.09E-06
80.59059059,5.26E-09,1.07E-06
80.75675676,5.12E-09,1.06E-06
80.92292292,4.99E-09,1.04E-06
81.08908909,4.86E-09,1.03E-06
81.25525526,4.73E-09,1.02E-06
81.42142142,4.60E-09,1.00E-06
81.58758759,4.48E-09,9.91E-07
81.75375375,4.35E-09,9.78E-07
81.91991992,4.22E-09,9.66E-07
82.08608609,4.10E-09,9.54E-07
82.25225225,3.97E-09,9.42E-07
82.41841842,3.84E-09,9.30E-07
82.58458458,3.71E-09,9.19E-07
82.75075075,3.58E-09,9.07E-07
82.91691692,3.45E-09,8.96E-07
83.08308308,3.32E-09,8.85E-07
83.24924925,3.19E-09,8.74E-07
83.41541542,3.05E-09,8.64E-07
83.58158158,2.91E-09,8.53E-07
83.74774775,2.77E-09,8.43E-07
83.91391391,2.63E-09,8.33E-07
84.08008008,2.49E-09,8.24E-07
84.24624625,2.39E-09,8.14E-07
84.41241241,2.29E-09,8.05E-07
84.57857858,2.21E-09,7.95E-07
84.74474474,2.12E-09,7.86E-07
84.91091091,2.04E-09,7.78E-07
85.07707708,1.96E-09,7.69E-07
85.24324324,1.88E-09,7.60E-07
85.40940941,1.81E-09,7.52E-07
85.57557558,1.74E-09,7.43E-07
85.74174174,1.67E-09,7.35E-07
85.90790791,1.60E-09,7.27E-07
86.07407407,1.54E-09,7.19E-07
