days,pop,immunesupressed_flow,HD79,HD79_flow,145-97,145-97_flow,396-09,396-09_flow,274-98,274-98_flow,174-97,174-97_flow,GM04,GM04_flow
78.92892893,0.015722994,0.068749705,0.119211399,0.087154713,0.07741151,-1.78E-08,0.018015135,1.480117297,0.000934123,0.00483616,9.35E-05,0.000926478,0.030773342,0.12879295
79.0950951,0.0155283,0.067984311,0.117545656,0.079934886,0.076653952,-1.44E-08,0.017569087,1.483716675,0.000915373,0.004739697,8.92E-05,0.00088029,0.030459615,0.127664334
79.26126126,0.015337033,0.067231331,0.115909653,0.072998423,0.075906183,-1.11E-08,0.017134487,1.487321551,0.000897079,0.004645468,8.51E-05,0.000833436,0.030150947,0.126541883
79.42742743,0.015149123,0.066490585,0.114302784,0.066356456,0.07516805,-7.64E-09,0.016711028,1.490932726,0.000879228,0.004553407,8.12E-05,0.000785668,0.029847242,0.125436304
79.59359359,0.014964501,0.065761909,0.112724458,0.060110139,0.0744394,-4.23E-09,0.016298415,1.49455374,0.000861808,0.004463449,7.75E-05,0.000736801,0.029548406,0.124347389
79.75975976,0.014783101,0.065045157,0.111174096,0.054281919,0.073720085,-7.97E-10,0.015896359,1.498179861,0.000844809,0.004375527,7.40E-05,0.000701885,0.02925435,0.123274948
79.92592593,0.014604856,0.064340197,0.109651133,0.048826014,0.073009959,2.64E-09,0.015504581,1.50181044,0.000828218,0.004289574,7.06E-05,0.000668264,0.028964983,0.122218812
80.09209209,0.014429703,0.063646915,0.108155017,0.043747586,0.072308879,6.09E-09,0.015122806,1.505444822,0.000812024,0.004205521,6.74E-05,0.000635877,0.028680218,0.121178831
80.25825826,0.014257581,0.062965214,0.106685208,0.039031249,0.071616706,9.54E-09,0.014750771,1.509082346,0.000796217,0.004123299,6.43E-05,0.000604665,0.028399968,0.120154879
80.42442442,0.014088427,0.062295012,0.105241178,0.034673528,0.0709333,1.30E-08,0.014388218,1.512722342,0.000780786,0.004042838,6.13E-05,0.000574565,0.02812415,0.119146847
80.59059059,0.013922182,0.061636249,0.10382241,0.030672012,0.070258527,1.65E-08,0.014034895,1.516364135,0.000765722,0.003964068,5.85E-05,0.000545516,0.027852682,0.118154649
80.75675676,0.013758788,0.060988877,0.102428399,0.027019045,0.069592254,2.00E-08,0.01369056,1.520007042,0.000751015,0.003886915,5.59E-05,0.000517454,0.027585485,0.117178222
80.92292292,0.013598187,0.060352871,0.101058653,0.023714917,0.06893435,2.35E-08,0.013354974,1.523650376,0.000736655,0.003811308,5.33E-05,0.000490315,0.027322478,0.116217524
81.08908909,0.013440325,0.059728221,0.099712688,0.020744984,0.068284688,2.70E-08,0.013027907,1.527291673,0.000722632,0.003737172,5.09E-05,0.000464034,0.027063586,0.115272533
81.25525526,0.013285147,0.059114935,0.098390027,0.018452299,0.067643141,3.05E-08,0.012709136,1.530905558,0.000708939,0.003664433,4.86E-05,0.000438547,0.026808734,0.114343252
81.42142142,0.0131326,0.058513043,0.097090219,0.017372925,0.067009586,3.40E-08,0.012398441,1.534509772,0.000695566,0.003593015,4.63E-05,0.000413788,0.026557847,0.113429707
81.58758759,0.012982632,0.057922591,0.095812806,0.016287702,0.066383903,3.75E-08,0.01209561,1.53810284,0.000682505,0.003522842,4.42E-05,0.000389689,0.026310855,0.112531945
81.75375375,0.012835192,0.057343644,0.094557345,0.015196627,0.06576597,4.11E-08,0.011800437,1.54168327,0.000669748,0.0034552,4.22E-05,0.000366182,0.026067687,0.11165004
81.91991992,0.01269023,0.056764993,0.093323406,0.014099693,0.065155673,4.46E-08,0.011512721,1.545249558,0.000657286,0.00339146,4.03E-05,0.000343201,0.025828273,0.110784085
82.08608609,0.012547698,0.05619355,0.092110566,0.012996895,0.064552894,4.82E-08,0.011232267,1.548800183,0.000645113,0.003329429,3.84E-05,0.000320674,0.025592546,0.109934202
82.25225225,0.01240755,0.055631145,0.090918413,0.011888229,0.063957522,5.17E-08,0.010958884,1.552333613,0.000633221,0.003269066,3.67E-05,0.000300102,0.025360441,0.109100533
82.41841842,0.012269737,0.05507769,0.089746542,0.01077369,0.063369447,5.53E-08,0.010692388,1.555848299,0.000621601,0.003210333,3.50E-05,0.00028261,0.025131892,0.108283248
82.58458458,0.012134215,0.054533111,0.088594559,0.009653272,0.062788558,5.89E-08,0.010432599,1.559342679,0.000610248,0.003153189,3.34E-05,0.000266155,0.024906836,0.107464146
82.75075075,0.01200094,0.053997345,0.087462077,0.008526972,0.062214749,6.25E-08,0.010179342,1.562815177,0.000599155,0.003097596,3.19E-05,0.000250716,0.024685211,0.106651316
82.91691692,0.011869869,0.05347034,0.086348717,0.007394786,0.061647915,6.61E-08,0.009932446,1.566260014,0.000588315,0.003043512,3.04E-05,0.000236272,0.024466955,0.105850582
83.08308308,0.011740959,0.052952056,0.085254108,0.006592597,0.061087953,6.97E-08,0.009691747,1.569677133,0.00057772,0.002990895,2.90E-05,0.000222802,0.024252011,0.105061817
83.24924925,0.011614169,0.052442468,0.084177891,0.006258229,0.06053476,7.33E-08,0.009457081,1.573064969,0.000567366,0.002939704,2.77E-05,0.000210284,0.02404032,0.104284907
83.41541542,0.011489457,0.051941559,0.083119708,0.00592208,0.059988237,7.69E-08,0.009228294,1.576421541,0.000557246,0.002889896,2.64E-05,0.000198697,0.023831824,0.103519747
83.58158158,0.011366785,0.051449329,0.082079213,0.005584148,0.059448286,8.06E-08,0.009005232,1.57974485,0.000547354,0.002841429,2.52E-05,0.000188018,0.023626468,0.102766247
83.74774775,0.011246114,0.050965787,0.081056068,0.005244433,0.058914812,8.42E-08,0.008787747,1.58303288,0.000537684,0.002794258,2.41E-05,0.000178225,0.023424196,0.102024328
83.91391391,0.011127406,0.050490957,0.080049941,0.004902933,0.058387719,8.79E-08,0.008575694,1.58628946,0.00052823,0.00274834,2.30E-05,0.000169295,0.023224956,0.101293922
84.08008008,0.011010624,0.050024876,0.079060505,0.004559647,0.057866914,9.15E-08,0.008368933,1.589512384,0.000518987,0.00270363,2.19E-05,0.000161205,0.023028696,0.100574975
84.24624625,0.010895732,0.049567594,0.078087444,0.004214574,0.057352307,9.52E-08,0.008167326,1.592701239,0.00050995,0.002660084,2.09E-05,0.000153931,0.022835363,0.099867446
84.41241241,0.010782693,0.049119173,0.077130447,0.003867712,0.056843806,9.88E-08,0.007970742,1.595857986,0.000501114,0.002617654,2.00E-05,0.00014745,0.022644907,0.099171304
84.57857858,0.010671474,0.04867969,0.076189208,0.003519062,0.056341324,1.03E-07,0.007779049,1.598981093,0.000492474,0.002576302,1.90E-05,0.000141739,0.02245728,0.098486534
84.74474474,0.010562041,0.048249235,0.07526343,0.00316862,0.055844774,1.06E-07,0.007592122,1.602066905,0.000484024,0.00253768,1.82E-05,0.000136772,0.022272433,0.097813133
84.91091091,0.01045436,0.047827914,0.074352821,0.002968142,0.055354071,1.10E-07,0.007409838,1.605110862,0.000475759,0.002500199,1.73E-05,0.000124919,0.022090318,0.097151111
85.07707708,0.010348398,0.047412735,0.073457096,0.002868718,0.054869132,1.14E-07,0.007232078,1.608104831,0.000467676,0.002463817,1.66E-05,0.000111919,0.02191089,0.096500491
